Index,Time,(MiniPC_Data).is_shoot,(MiniPC_Data).buff_yaw,(MiniPC_Data).buff_pitch,((Shoot_Control).feed_ang).ref
7782,7.782085,0,-5644,-1575,1100.72925
7783,7.783100,0,-5644,-1575,1100.72925
7784,7.784104,0,-5644,-1575,1100.72925
7785,7.785087,0,-5644,-1575,1100.72925
7786,7.786085,0,-5644,-1575,1100.72925
7787,7.787086,0,-5644,-1575,1100.72925
7788,7.788092,0,-5644,-1575,1100.72925
7789,7.789093,0,-5644,-1575,1100.72925
7790,7.790093,0,-5644,-1575,1100.72925
7791,7.791085,0,-5644,-1575,1100.72925
7792,7.792091,0,-5644,-1575,1100.72925
7793,7.793191,0,-5644,-1575,1100.72925
7794,7.794086,0,-5644,-1575,1100.72925
7795,7.795091,0,-5624,-1582,1100.72925
7796,7.796093,0,-5624,-1582,1100.72925
7797,7.797089,0,-5624,-1582,1100.72925
7798,7.798091,0,-5624,-1582,1100.72925
7799,7.799087,0,-5624,-1582,1100.72925
7800,7.800092,0,-5624,-1582,1100.72925
7801,7.801089,0,-5624,-1582,1100.72925
7802,7.802091,0,-5624,-1582,1100.72925
7803,7.803087,0,-5624,-1582,1100.72925
7804,7.804128,0,-5624,-1582,1100.72925
7805,7.805089,0,-5624,-1582,1100.72925
7806,7.806093,0,-5624,-1582,1100.72925
7807,7.807090,0,-5624,-1582,1100.72925
7808,7.808092,0,-5624,-1582,1100.72925
7809,7.809088,0,-5624,-1582,1100.72925
7810,7.810093,0,-5624,-1582,1100.72925
7811,7.811106,0,-5624,-1582,1100.72925
7812,7.812090,0,-5624,-1582,1100.72925
7813,7.813085,0,-5624,-1582,1100.72925
7814,7.814085,0,-5624,-1582,1100.72925
7815,7.815090,0,-5624,-1582,1100.72925
7816,7.816127,0,-5624,-1582,1100.72925
7817,7.817090,0,-5624,-1582,1100.72925
7818,7.818086,0,-5624,-1582,1100.72925
7819,7.819091,0,-5624,-1582,1100.72925
7820,7.820086,0,-5624,-1582,1100.72925
7821,7.821091,0,-5631,-1577,1100.72925
7822,7.822092,0,-5631,-1577,1100.72925
7823,7.823087,0,-5631,-1577,1100.72925
7824,7.824088,0,-5631,-1577,1100.72925
7825,7.825093,0,-5631,-1577,1100.72925
7826,7.826085,0,-5631,-1577,1100.72925
7827,7.827125,0,-5631,-1577,1100.72925
7828,7.828086,0,-5631,-1577,1100.72925
7829,7.829091,0,-5631,-1577,1100.72925
7830,7.830089,0,-5631,-1577,1100.72925
7831,7.831090,0,-5631,-1577,1100.72925
7832,7.832086,0,-5631,-1577,1100.72925
7833,7.833087,0,-5631,-1577,1100.72925
7834,7.834092,0,-5631,-1577,1100.72925
7835,7.835093,0,-5631,-1577,1100.72925
7836,7.836089,0,-5631,-1577,1100.72925
7837,7.837090,0,-5631,-1577,1100.72925
7838,7.838086,0,-5631,-1577,1100.72925
7839,7.839124,0,-5631,-1577,1100.72925
